du_an,price_VND,location,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing
,3.45,"Đường Tả Thanh Oai, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",,35.0,98.57,3.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,
,85.0,"Phố Nhật Chiêu, Phường Nhật Tân, Quận Tây Hồ, Hà Nội",,109.0,779.82,6.0,8.0,Đã có sổ,"Nhà mặt phố, mặt tiền",6.0,Nội thất đầy đủ
,5.39,"Đường La Thành, Phường Giảng Võ, Quận Ba Đình, Hà Nội",,30.0,179.67,3.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,
,30.8,"Ngõ 152 Phố Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội",,134.0,229.85,6.0,10.0,Đã có sổ,"Nhà mặt phố, mặt tiền",4.0,Nội thất đầy đủ
,5.4,"Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",,59.0,91.53,,4.0,Đã có sổ,"Nhà ngõ, hẻm",,
,13.8,"Đường Quang Trung, Phường La Khê, Quận Hà Đông, Hà Nội",,54.0,255.56,6.0,6.0,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,Hoàn thiện cơ bản
,2.7,"Phố An Thắng, Phường Biên Giang, Quận Hà Đông, Hà Nội",,30.0,90.0,3.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ
,12.5,"Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",,117.0,106.84,6.0,10.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ
,12.5,"Phố Ao Sen, Phường Mộ Lao, Quận Hà Đông, Hà Nội",,40.0,312.5,3.0,3.0,Đã có sổ,"Nhà mặt phố, mặt tiền",4.0,Hoàn thiện cơ bản
,4.2,"Vĩnh Ninh, Xã Vĩnh Quỳnh, Huyện Thanh Trì, Hà Nội",,40.0,105.0,3.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,
,9.8,"Phố Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",,36.0,272.22,,3.0,Đã có sổ,"Nhà ngõ, hẻm",7.0,Hoàn thiện cơ bản
,15.0,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",,55.0,272.73,5.0,6.0,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,Nội thất đầy đủ
,4.2,"Vĩnh Ninh, Xã Vĩnh Quỳnh, Huyện Thanh Trì, Hà Nội",,40.0,105.0,3.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,
,9.8,"Phố Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",,36.0,272.22,,3.0,Đã có sổ,"Nhà ngõ, hẻm",7.0,Hoàn thiện cơ bản
,15.0,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",,55.0,272.73,5.0,6.0,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,Nội thất đầy đủ
,9.3,"Đường Nguyễn Sơn, Phường Gia Thụy, Quận Long Biên, Hà Nội",,36.0,258.33,,3.0,Đã có sổ,"Nhà ngõ, hẻm",7.0,Nội thất cao cấp
,6.6,"Ngõ 354 Trường Chinh, Phường Khương Thượng, Quận Đống Đa, Hà Nội",,31.0,212.9,,3.0,Đã có sổ,"Nhà ngõ, hẻm",,
,5.85,"Đường Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",,40.0,146.25,4.0,3.0,Đã có sổ,Nhà phố liền kề,5.0,Nội thất đầy đủ
,5.45,"THỌ AM, Xã Liên Ninh, Huyện Thanh Trì, Hà Nội",,69.3,78.64,4.0,6.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ
,3.55,"Đường Thanh Lãm, Phường Phú Lãm, Quận Hà Đông, Hà Nội",,33.0,107.58,3.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",3.0,Nội thất đầy đủ
