du_an,price_VND,location,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing
,14.0,"Phố Mễ Trì Hạ, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",,55.0,254.55,,,Đã có sổ,Đất thổ cư,,
,2.35,"Bắc Thượng, Xã Quang Tiến, Huyện Sóc Sơn, Hà Nội",,62.6,37.54,,,Đã có sổ,Đất thổ cư,,
,2.15,"Thư Phú, Xã Thư Phú, Huyện Thường Tín, Hà Nội",,52.0,41.35,,,Đã có sổ,Đất thổ cư,,
,2.45,"Vạn Phúc, Xã Vạn Phúc, Huyện Thanh Trì, Hà Nội",,45.0,54.44,,,Đã có sổ,Đất thổ cư,,
,2.6,"Vạn Phúc, Xã Vạn Phúc, Huyện Thanh Trì, Hà Nội",,45.0,57.78,,,Đã có sổ,Đất thổ cư,,
,5.1,"Liên Ninh, Xã Liên Ninh, Huyện Thanh Trì, Hà Nội",,77.0,66.23,,,Đã có sổ,Đất thổ cư,,
,6.5,"Đông mỹ, Xã Đông Mỹ, Huyện Thanh Trì, Hà Nội",,110.0,59.09,,,Đã có sổ,Đất thổ cư,,
,15.5,"vành đai 3.5, Xã Di Trạch, Huyện Hoài Đức, Hà Nội",,112.0,138.39,,,Đã có sổ,Đất thổ cư,,
,10.6,"3.5, Xã Di Trạch, Huyện Hoài Đức, Hà Nội",,90.0,117.78,,,Đã có sổ,Đất thổ cư,,
,11.8,"3,5, Xã Di Trạch, Huyện Hoài Đức, Hà Nội",,80.0,147.5,,,Đã có sổ,Đất thổ cư,,
,16.5,"đường vành đai 3,5, Xã Di Trạch, Huyện Hoài Đức, Hà Nội",,110.0,150.0,,,Đã có sổ,Đất thổ cư,,
,16.8,"3,5, Xã Di Trạch, Huyện Hoài Đức, Hà Nội",,115.0,146.09,,,Đã có sổ,Đất thổ cư,,
,16.5,"3,5, Xã Di Trạch, Huyện Hoài Đức, Hà Nội",,125.0,132.0,,,Đã có sổ,Đất thổ cư,,
,11.9,"32, Thị trấn Phùng, Huyện Đan Phượng, Hà Nội",,89.0,133.71,,,Đã có sổ,Đất thổ cư,,
,5.6,"Dân sinh, Thị trấn Quang Minh, Huyện Mê Linh, Hà Nội",,92.0,60.87,,,Đã có sổ,Đất thổ cư,,
,1.45,"Trục Chính Liên Thôn , Xã Nam Phương Tiến, Huyện Chương Mỹ, Hà Nội",,129.0,11.24,,,Đã có sổ,Đất thổ cư,,
,3.29,"Dân sinh, Thị trấn Quang Minh, Huyện Mê Linh, Hà Nội",,70.0,47.0,,,Đã có sổ,Đất thổ cư,,
,2.66,"Xóm 5 Tráng Việt, Xã Tráng Việt, Huyện Mê Linh, Hà Nội",,86.0,30.93,,,Đã có sổ,Đất thổ cư,,
,12.0,"Hữu Lê, Xã Hữu Hoà, Huyện Thanh Trì, Hà Nội",,52.5,228.57,,,Đã có sổ,Đất thổ cư,,
,1.28,"Chùa Thầy, Xã Sài Sơn, Huyện Quốc Oai, Hà Nội",,400.0,3.2,,,Đã có sổ,Đất nông nghiệp,,
,10.8,"Phố Ỷ La, Phường Dương Nội, Quận Hà Đông, Hà Nội",,106.0,101.89,,,Đã có sổ,Đất thổ cư,,
,1.68,"Đường Liên Thôn Thắng Hữu Minh Trí Sóc Sơn Hà Nội, Xã Minh Trí, Huyện Sóc Sơn, Hà Nội",,100.0,16.8,,,Đã có sổ,Đất thổ cư,,
,15.7,"Phố Kim Quan Thượng, Phường Việt Hưng, Quận Long Biên, Hà Nội",,101.0,155.45,,,Đã có sổ,Đất thổ cư,,
